,id,city,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,rent_price,country
13666,8076,"ConcepciÃ³n, Madrid",73.0,2,1,223000,3055,0,ConcepciÃ³n
13667,8075,"Colina, Madrid",136.0,3,2,1190000,8750,0,Colina
13668,8074,"Colina, Madrid",106.0,2,2,950000,8962,0,Colina
13669,8073,"Colina, Madrid",128.0,3,2,1060000,8281,0,Colina
13670,8072,"Colina, Madrid",128.0,3,2,1120000,8750,0,Colina
13671,8071,"Colina, Madrid",136.0,3,2,930000,6838,0,Colina
13672,8070,"Colina, Madrid",137.0,3,2,1260000,9197,0,Colina
13673,8069,"Ventas, Madrid",46.0,3,1,163000,3543,0,Ventas
13674,8068,"Ciudad Lineal, Madrid",78.0,2,1,117000,1500,0,Ciudad Lineal
13675,8067,"Ciudad Lineal, Madrid",64.0,3,1,154000,2406,0,Ciudad Lineal
13676,8066,"Pueblo Nuevo, Madrid",95.0,2,2,200000,2105,0,Pueblo Nuevo
13677,8065,"Pueblo Nuevo, Madrid",95.0,2,2,200000,2105,0,Pueblo Nuevo
13678,8064,"Pueblo Nuevo, Madrid",64.0,2,1,130000,2031,0,Pueblo Nuevo
13679,8063,"Quintana, Madrid",72.0,3,1,150000,2083,0,Quintana
13680,8062,"Ciudad Lineal, Madrid",60.0,2,1,119900,1998,0,Ciudad Lineal
13681,8061,"Ciudad Lineal, Madrid",90.0,3,2,249500,2772,0,Ciudad Lineal
13682,8060,"Ciudad Lineal, Madrid",43.0,2,1,108000,2512,0,Ciudad Lineal
13683,8059,"Ventas, Madrid",55.0,2,1,200000,3636,0,Ventas
13684,8058,"Ventas, Madrid",37.0,1,1,130000,3514,0,Ventas
13685,8057,"Costillares, Madrid",85.0,2,2,395000,4647,0,Costillares
13686,8056,"San Pascual, Madrid",80.0,3,1,210000,2625,0,San Pascual
13687,8055,"ConcepciÃ³n, Madrid",108.0,4,1,285000,2639,0,ConcepciÃ³n
13688,8054,"Costillares, Madrid",450.0,4,6,1495000,3322,0,Costillares
13689,8053,"Costillares, Madrid",472.0,4,6,1495000,3167,0,Costillares
13690,8052,"Pueblo Nuevo, Madrid",50.0,2,1,140000,2800,0,Pueblo Nuevo
13691,8051,"Ciudad Lineal, Madrid",114.0,4,2,265000,2325,0,Ciudad Lineal
13692,8050,"Pueblo Nuevo, Madrid",86.0,3,1,149000,1733,0,Pueblo Nuevo
13693,8049,"Pueblo Nuevo, Madrid",75.0,2,1,320000,4267,0,Pueblo Nuevo
13694,8048,"Ventas, Madrid",69.0,3,1,159000,2304,0,Ventas
13695,8047,"Quintana, Madrid",106.0,3,2,349000,3292,0,Quintana
13696,8046,"Ciudad Lineal, Madrid",103.0,3,2,203000,1971,0,Ciudad Lineal
13697,8045,"Ciudad Lineal, Madrid",73.0,3,1,143000,1959,0,Ciudad Lineal
13698,8044,"Colina, Madrid",95.0,3,2,479000,5042,0,Colina
13699,8043,"Colina, Madrid",345.0,5,4,1375000,3986,0,Colina
13700,8042,"Ventas, Madrid",47.0,1,1,173000,3681,0,Ventas
13701,8041,"ConcepciÃ³n, Madrid",65.0,1,1,300000,4615,0,ConcepciÃ³n
13702,8040,"Costillares, Madrid",159.0,3,2,844617,5312,0,Costillares
13703,8039,"Pueblo Nuevo, Madrid",104.0,3,2,446900,4297,0,Pueblo Nuevo
13704,8038,"Pueblo Nuevo, Madrid",101.0,3,2,590900,5850,0,Pueblo Nuevo
13705,8037,"Pueblo Nuevo, Madrid",74.0,2,2,441900,5972,0,Pueblo Nuevo
13706,8036,"Ventas, Madrid",77.0,2,2,295000,3831,0,Ventas
13707,8035,"Ventas, Madrid",70.0,2,1,215000,3071,0,Ventas
13708,8034,"San Juan Bautista, Madrid",150.0,4,3,764000,5093,0,San Juan Bautista
13709,8033,"Pueblo Nuevo, Madrid",64.0,2,1,165000,2578,0,Pueblo Nuevo
13710,8032,"Pueblo Nuevo, Madrid",50.0,2,1,150000,3000,0,Pueblo Nuevo
13711,8031,"Quintana, Madrid",72.0,2,1,199000,2764,0,Quintana
13712,8030,"Ventas, Madrid",107.0,4,2,289000,2701,0,Ventas
13713,8029,"Pueblo Nuevo, Madrid",60.0,1,1,153000,2550,0,Pueblo Nuevo
13714,8028,"Pueblo Nuevo, Madrid",65.0,3,2,198000,3046,0,Pueblo Nuevo
13715,8027,"ConcepciÃ³n, Madrid",78.0,2,1,199000,2551,0,ConcepciÃ³n
13716,8026,"ConcepciÃ³n, Madrid",161.0,4,4,730000,4534,0,ConcepciÃ³n
13717,8025,"ConcepciÃ³n, Madrid",70.0,3,1,199000,2843,0,ConcepciÃ³n
13718,8024,"Costillares, Madrid",47.0,1,1,301700,6419,0,Costillares
13719,8023,"ConcepciÃ³n, Madrid",77.0,2,1,225000,2922,0,ConcepciÃ³n
13720,8022,"Pueblo Nuevo, Madrid",138.0,4,2,523127,3791,0,Pueblo Nuevo
13721,8021,"Quintana, Madrid",97.0,3,2,288000,2969,0,Quintana
13722,8020,"Pueblo Nuevo, Madrid",58.0,3,1,135500,2336,0,Pueblo Nuevo
13723,8019,"ConcepciÃ³n, Madrid",118.0,3,2,299900,2542,0,ConcepciÃ³n
13725,8017,"Costillares, Madrid",155.0,3,2,650000,4194,0,Costillares
13726,8016,"Pueblo Nuevo, Madrid",75.0,2,1,320000,4267,0,Pueblo Nuevo
13727,8015,"Costillares, Madrid",64.0,2,2,337500,5273,0,Costillares
13728,8014,"Costillares, Madrid",256.0,5,3,900000,3516,0,Costillares
13729,8013,"San Pascual, Madrid",170.0,3,3,1287900,7576,0,San Pascual
13730,8012,"Costillares, Madrid",63.0,2,2,332009,5270,0,Costillares
13731,8011,"Ciudad Lineal, Madrid",73.0,3,1,206000,2822,0,Ciudad Lineal
13732,8010,"Ciudad Lineal, Madrid",96.0,3,2,295000,3073,0,Ciudad Lineal
13733,8009,"Colina, Madrid",92.0,4,1,285000,3098,0,Colina
13734,8008,"Ventas, Madrid",62.0,1,1,287700,4640,0,Ventas
13735,8007,"Ventas, Madrid",54.0,1,1,207000,3833,0,Ventas
13736,8006,"Ventas, Madrid",76.0,1,1,268000,3526,0,Ventas
13737,8005,"Ventas, Madrid",86.0,3,1,194900,2266,0,Ventas
13738,8004,"Ciudad Lineal, Madrid",319.0,5,4,1045000,3276,0,Ciudad Lineal
13739,8003,"Ciudad Lineal, Madrid",180.0,4,3,950000,5278,0,Ciudad Lineal
13740,8002,"ConcepciÃ³n, Madrid",71.0,1,1,209900,2956,0,ConcepciÃ³n
13741,8001,"Ciudad Lineal, Madrid",171.0,4,3,950000,5556,0,Ciudad Lineal
13742,8000,"Pueblo Nuevo, Madrid",81.0,3,1,185000,2284,0,Pueblo Nuevo
13743,7999,"Atalaya, Madrid",200.0,4,3,730000,3650,0,Atalaya
13744,7998,"Pueblo Nuevo, Madrid",71.0,3,1,212000,2986,0,Pueblo Nuevo
13745,7997,"Ventas, Madrid",51.0,2,1,160000,3137,0,Ventas
13746,7996,"Ventas, Madrid",53.0,2,1,160000,3019,0,Ventas
13747,7995,"Ventas, Madrid",175.0,4,2,219000,1251,0,Ventas
13748,7994,"San Juan Bautista, Madrid",345.0,5,4,1375000,3986,0,San Juan Bautista
13749,7993,"Atalaya, Madrid",345.0,5,4,1375000,3986,0,Atalaya
13750,7992,"Quintana, Madrid",60.0,2,2,130000,2167,0,Quintana
