,id,city,sq_mt_built,n_rooms,n_bathrooms,buy_price,buy_price_by_area,rent_price,country
13909,7833,"ConcepciÃ³n, Madrid",113.0,3,2,425000,3761,0,ConcepciÃ³n
13910,7832,"San Juan Bautista, Madrid",75.0,2,2,365000,4867,0,San Juan Bautista
13911,7831,"Quintana, Madrid",80.0,2,1,239000,2988,0,Quintana
13912,7830,"Quintana, Madrid",70.0,3,1,230000,3286,0,Quintana
13913,7829,"Quintana, Madrid",82.0,2,1,210000,2561,0,Quintana
13914,7828,"Ciudad Lineal, Madrid",69.0,1,1,260000,3768,0,Ciudad Lineal
13915,7827,"Ciudad Lineal, Madrid",132.0,4,2,445000,3371,0,Ciudad Lineal
13916,7826,"Ventas, Madrid",76.0,2,1,288000,3789,0,Ventas
13917,7825,"Ventas, Madrid",54.0,1,1,214000,3963,0,Ventas
13918,7824,"Ventas, Madrid",54.0,1,1,200000,3704,0,Ventas
13919,7823,"Ciudad Lineal, Madrid",194.0,4,3,720000,3711,0,Ciudad Lineal
13920,7822,"Ciudad Lineal, Madrid",81.0,3,1,230000,2840,0,Ciudad Lineal
13921,7821,"Pueblo Nuevo, Madrid",68.0,1,1,257000,3779,0,Pueblo Nuevo
13922,7820,"Ciudad Lineal, Madrid",216.0,5,2,725000,3356,0,Ciudad Lineal
13923,7819,"Ciudad Lineal, Madrid",284.0,5,4,995000,3504,0,Ciudad Lineal
13924,7818,"Ciudad Lineal, Madrid",145.0,4,2,530000,3655,0,Ciudad Lineal
13925,7817,"Ciudad Lineal, Madrid",55.0,2,1,200000,3636,0,Ciudad Lineal
13926,7816,"Pueblo Nuevo, Madrid",89.0,2,2,309000,3472,0,Pueblo Nuevo
13927,7815,"Ventas, Madrid",51.0,2,1,149000,2922,0,Ventas
13928,7814,"San Pascual, Madrid",62.0,2,1,191000,3081,0,San Pascual
13929,7813,"Quintana, Madrid",143.0,3,2,399000,2790,0,Quintana
